model,term,estimate,std.error,statistic,p.value
model_1,(Intercept),156078.70840754668,24680.659182459774,6.323927868120711,8.78938264601497e-9
model_1,education,-17683.057041644966,7360.934125380611,-2.4022843759290717,0.018279893341792076
model_2,(Intercept),294363.3908241346,46451.13066901186,6.337055451278997,8.539010428630342e-9
model_2,education,-129017.98929667147,33069.69060597041,-3.901396926688468,1.8183390202841507e-4
model_2,I(education^2),18556.268836996278,5388.0973805886215,3.4439371685908733,8.650226573977849e-4
model_3,(Intercept),11.34246061307993,0.1369339080787717,82.83164317894982,6.1617127570007e-89
model_3,education,0.003864400109736875,0.040840135972344996,0.09462260635845247,0.9248181676659915
